epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.8345,0.48601,0.74238,0.81757,0.97929,0.9892,0.993,0.92498,0.34507,0.36824,0.78679,0.000281506,0.000281506,0.0669903
2,126.132,0.41533,0.38673,0.80687,0.96579,0.96495,0.9865,0.92911,0.32483,0.31973,0.78278,0.000526185,0.000526185,0.0339017
3,188.95,0.39147,0.34464,0.80381,0.99003,0.99591,0.99406,0.94837,0.31266,0.27877,0.78243,0.000733659,0.000733659,0.0007758
4,250.852,0.37453,0.32083,0.8021,0.99182,0.99527,0.99214,0.95357,0.30166,0.25532,0.78083,0.00067816,0.00067816,0.00067816
5,309.382,0.36259,0.30099,0.79888,0.98565,0.9954,0.99195,0.95249,0.30942,0.26524,0.78088,0.000622351,0.000622351,0.000622351
6,370.561,0.33775,0.26442,0.78768,0.98652,0.97272,0.99201,0.94707,0.31762,0.2786,0.78223,0.000566543,0.000566543,0.000566543
7,431.706,0.32832,0.25301,0.78448,0.99047,0.99454,0.99407,0.95716,0.30649,0.24746,0.78078,0.000510734,0.000510734,0.000510734
8,488.77,0.32006,0.24482,0.78198,0.99183,0.98919,0.98885,0.95559,0.31013,0.24135,0.77974,0.000454925,0.000454925,0.000454925
9,550.599,0.30777,0.2312,0.78094,0.98918,0.98502,0.99167,0.96008,0.29072,0.24107,0.77991,0.000399117,0.000399117,0.000399117
10,612.224,0.30155,0.22621,0.77916,0.9907,0.98983,0.99298,0.96153,0.2789,0.22386,0.77573,0.000343308,0.000343308,0.000343308
11,670.14,0.29435,0.21305,0.77878,0.99018,0.9973,0.99148,0.96762,0.27841,0.21779,0.77615,0.000287499,0.000287499,0.000287499
12,731.535,0.28356,0.20382,0.77644,0.99103,0.98921,0.99314,0.97389,0.27232,0.21239,0.77647,0.000231691,0.000231691,0.000231691
13,792.399,0.27994,0.19549,0.77448,0.98971,0.99576,0.99362,0.97055,0.27667,0.20483,0.77612,0.000175882,0.000175882,0.000175882
14,849.483,0.27073,0.18624,0.77558,0.99107,0.99501,0.99393,0.97252,0.26346,0.19867,0.77411,0.000120073,0.000120073,0.000120073
15,910.164,0.25956,0.17632,0.77444,0.99273,0.98852,0.9933,0.97426,0.25678,0.1922,0.7743,6.42645e-05,6.42645e-05,6.42645e-05
